game_date,predictions,unique_pitchers,graded,avg_prediction,avg_actual,days_since_last
2025-09-08,22,22,11,4.655454545454546,5.136363636363637,1.0
2025-09-09,28,28,17,4.750357142857143,5.035714285714285,1.0
2025-09-10,25,25,14,4.8204,5.800000000000001,1.0
2025-09-11,16,16,8,4.693124999999999,6.312499999999999,1.0
2025-09-12,27,27,12,4.856666666666668,4.74074074074074,1.0
2025-09-13,25,25,11,4.724,4.5600000000000005,1.0
2025-09-14,29,29,13,4.724137931034482,5.206896551724138,1.0
2025-09-15,15,15,10,4.885333333333334,5.133333333333333,1.0
2025-09-16,29,27,18,4.889999999999999,4.96551724137931,1.0
2025-09-17,29,29,15,4.849310344827586,4.620689655172414,1.0
2025-09-18,18,18,11,5.035,6.388888888888889,1.0
2025-09-19,27,27,18,4.615555555555556,5.000000000000001,1.0
2025-09-20,33,31,14,4.459999999999999,4.7272727272727275,1.0
2025-09-21,26,26,18,4.657692307692308,4.884615384615385,1.0
2025-09-22,5,5,2,5.462,4.4,1.0
2025-09-23,27,27,20,4.855555555555555,5.185185185185185,1.0
2025-09-24,27,27,17,5.207777777777777,6.148148148148148,1.0
2025-09-25,21,21,11,4.644761904761904,5.428571428571428,1.0
2025-09-26,28,28,16,4.482499999999999,5.178571428571429,1.0
2025-09-27,25,25,15,4.516799999999999,5.7200000000000015,1.0
2025-09-28,24,24,17,4.569583333333334,5.458333333333334,1.0
